"DistributionId","Destination","RouteNumber","PredictedArrival","ScheduledArrival","mu","sigma","nu","tau","ScenarioId"
"52","Capitol Hill","49",5,1,21.0501929702987,0.0359370519510549,-2.22680319000313,1.48505955876881,"1"
"53","Capitol Hill","49",14,12,31.0270399098303,0.0829864418323199,-8.08563093298741,1.85535096477553,"2"
"54","Capitol Hill","49",19,13,36.6556706836567,0.11890351509211,-7.78668004180083,2.04160733669661,"2"
"55","Capitol Hill","49",16,2,33.1748892589223,0.0958775415294232,-2.3934885055833,1.92799973165415,"1"
"56","Capitol Hill","49",5,-6,21.1700970780533,0.0363801020124262,2.38054548434917,1.48990778671208,"2"
"57","Capitol Hill","49",6,-3,22.3096759205314,0.0407366823879597,0.825035394797482,1.53541526552558,"4"
"58","Downtown","70",13,12,30.6013031102411,0.080549464594367,-8.74992606702601,1.84069918494788,"2"
"59","Downtown","70",19,13,37.1094671196617,0.122101816931063,-7.70206273629303,2.05607301723648,"2"
"60","Downtown","70",17,12,34.4302145170115,0.103875722538994,-7.67398597817832,1.96953214193384,"3"
"61","Downtown","70",19,12,37.2017738471097,0.122757959727108,-7.13900417204704,2.05900623555659,"4"
"62","Downtown","70",12,6,28.5820767551644,0.0695197446284581,-4.74589313134178,1.76999003475202,"1"
"63","Downtown","70",16,1,33.0258392322127,0.0949506858483506,-2.09923029532408,1.92302427207443,"3"
"64","Downtown","70",10,6,26.2962515994637,0.0580785044729645,-5.25367073486838,1.68732221325471,"3"
"65","Downtown","70",11,-2,28.2172962754117,0.0676198393383264,-0.346193889860525,1.75699185681226,"3"
"66","Downtown","70",6,4,22.3184651982784,0.0407713119874768,-4.55094852452919,1.5357623510678,"LANDSCAPE"
"67","Downtown","70",8,5,24.7338800444746,0.0508895736465614,-4.63872811709268,1.6290450379322,"3"
"68","Downtown","70",12,1,28.6689166205949,0.0699762011071416,-2.15136236035225,1.77307395067258,"3"
"69","Downtown","70",19,13,37.2605561395657,0.123176784486271,-7.67433672269867,2.06087253613268,"1"
"70","Downtown","70",14,8,30.6875412362968,0.0810399574098409,-6.01675118970319,1.84367406106818,"2"
"71","Downtown","70",9,-1,25.7203073286589,0.0553691098637209,-0.324268630649108,1.66601555972641,"2"
"72","Downtown","70",8,7,24.0974497280052,0.048106757832818,-6.2190830568072,1.60485798309628,"2"
"73","Downtown","70",15,8,32.4970059189639,0.0917011100709949,-5.3674971875086,1.90529350364028,"1"
"74","Downtown","70",9,0,26.0985906856287,0.0571408280836685,-1.7583990000879,1.68003251239827,"2"
"75","Downtown","70",9,-3,25.4265544367932,0.0540139249067286,0.540046438252352,1.6550701093743,"2"
"76","Downtown","70",12,4,28.4260184668583,0.0687034813456873,-3.7146854839421,1.76443793364265,"4"
"77","Downtown","70",14,11,31.0690076800875,0.0832287819902047,-7.35319969073946,1.85679063728271,"3"
"78","Downtown","70",14,2,31.7600273904798,0.0872736040420909,-2.63254364178626,1.8803775789291,"LANDSCAPE"
"79","Downtown","70",13,1,30.40495587334,0.0794386653521113,-1.75316178790135,1.83391261911198,"1"
"80","Downtown","70",8,7,24.3081904985813,0.0490189358355265,-6.04066204071623,1.61289684523984,"3"
"81","Downtown","70",8,1,24.2244614262222,0.0486554193364153,-2.02956619109147,1.60970650798346,"1"
