"vis","arrival","participant","distribution","scenario","trial","mu","sigma","nu","tau","mode","duration","response","payoff","expected_payoff","optimal_payoff","expected_over_optimal"
"text99",FALSE,"p375","d072","s2",10,24.09744973,0.04810675783,-6.219083057,1.604857983,9,11.903872,6,776,790.4001924,795.4790974,0.993615287923215
"text99",FALSE,"p375","d071","s2",11,25.72030733,0.05536910986,-0.3242686306,1.66601556,11,13.213178,5,810,759.1466018,765.5047669,0.991694153485486
"text99",FALSE,"p375","d093","s2",12,23.61822761,0.04606664784,-1.401415303,1.586465365,9,8.715759,7,882,677.1522797,773.4546956,0.875490553683569
"text99",FALSE,"p375","d054","s2",13,36.65567068,0.1189035151,-7.786680042,2.041607337,20,11.187535,15,834,822.196109,822.2629678,0.999918689272632
"text99",FALSE,"p375","d082","s2",14,29.66744687,0.07534014583,-6.451215425,1.808252786,14,15.830711,12,838,718.7246472,803.371093,0.894635932836583
"text99",FALSE,"p375","d018","s2",15,35.77511914,0.1128272054,-9.375370989,2.013318439,19,17.363385,16,870,802.7896809,835.8553583,0.960440909935362
"text99",FALSE,"p375","d070","s2",16,30.68754124,0.08103995741,-6.01675119,1.843674061,15,7.915348,14,896,593.060482,802.7726161,0.73876521209852
"text99",FALSE,"p375","d023","s2",17,32.54318003,0.09198242298,-3.770348319,1.906846509,17,13.215381,15,932,651.6815844,784.5654637,0.830627416769888
"text99",FALSE,"p375","d050","s2",18,30.16021595,0.07806567133,-8.319483041,1.825427198,14,36.075718,12,796,763.6491963,817.0753113,0.934612985778512
"text99",FALSE,"p375","d047","s2",19,24.65707523,0.05054928537,-1.914205833,1.626140319,10,14.577922,9,898,485.1953998,775.3336162,0.625789195337613
"text99",FALSE,"p375","d133","s2",20,25.02368077,0.05218458971,1.452733518,1.639970703,10,12.359076,10,906,370.0814463,759.6070978,0.48720114302755
"text99",FALSE,"p375","d046","s2",21,21.58123865,0.03792142413,-5.081845585,1.506443794,6,7.339471,5,866,714.9272057,787.1431588,0.908255630132016
"text99",FALSE,"p375","d035","s2",22,27.83685316,0.06566841211,-8.353520347,1.743359052,12,8.359324,10,906,768.2478658,811.7500849,0.946409344564024
"text99",FALSE,"p375","d086","s2",23,27.49820952,0.06395715108,-1.229493608,1.731157146,12,7.653418,10,892,705.9546862,768.6847866,0.91839294663621
"text99",FALSE,"p375","d137","s2",24,25.75276185,0.05551993943,-2.238303239,1.667221563,11,10.836871,9,-26,665.8671531,777.7066646,0.856193193924186
"text99",FALSE,"p375","d031","s2",25,31.61030016,0.08638844829,-7.259124189,1.87528557,16,7.012111,14,910,686.976884,812.7585156,0.845241078148354
"text99",FALSE,"p375","d038","s2",26,30.9871603,0.08275651086,-8.541650758,1.853982156,15,10.917148,13,930,740.880259,819.148104,0.904452144102137
"text99",FALSE,"p375","d056","s2",27,21.17009708,0.03638010201,2.380545484,1.489907787,6,50.289393,5,866,638.726067,765.5672154,0.834317423932885
"text99",FALSE,"p375","d075","s2",28,25.42655444,0.05401392491,0.5400464383,1.655070109,10,18.255775,8,876,716.2609268,760.9673631,0.941250520761
"text99",FALSE,"p375","d094","s2",29,31.80026271,0.08751229207,-5.456805414,1.88174418,16,21.580811,13,-22,757.3704578,799.2971538,0.947545545732681
"text99",FALSE,"p375","d110","s2",30,32.85901261,0.09391901402,-2.175973861,1.917444046,17,10.070044,15,820,663.9331091,767.8845627,0.864626196892811
"text99",FALSE,"p375","d059","s2",31,37.10946712,0.1221018169,-7.702062736,2.056073017,20,10.230462,16,842,812.5938878,823.037341,0.987311082159029
"text99",FALSE,"p375","d149","s2",32,25.43371537,0.05404674665,0.5947185069,1.65533757,10,9.876437,8,862,716.4665351,760.7855891,0.941745671007742
"text99",FALSE,"p375","d089","s2",33,26.32905022,0.05823488887,-2.625763682,1.688529559,11,8.020666,10,892,599.2000124,779.9079527,0.768295810198628
"text99",FALSE,"p375","d045","s2",34,32.40922789,0.09116760228,-9.3365583,1.90233861,16,8.996372,14,910,761.2887504,828.030666,0.919396806977678
"text99",FALSE,"p375","d058","s2",35,30.60130311,0.08054946459,-8.749926067,1.840699185,15,7.835753,13,944,711.0654208,819.3503979,0.867840453391449
"text99",FALSE,"p375","d127","s2",36,27.17903824,0.06236645741,-6.815189141,1.719598104,12,36.757911,10,794,710.35934,802.7279434,0.884931620782045
"text99",FALSE,"p375","d074","s2",37,26.09859069,0.05714082808,-1.758399,1.680032512,11,7.356879,9,772,695.6663696,773.6226355,0.899232180752291
"text99",FALSE,"p375","d053","s2",38,31.02703991,0.08298644183,-8.085630933,1.855350965,15,8.681377,14,-28,631.6905722,816.2454712,0.773897797278217
"text99",FALSE,"p375","d117","s2",39,26.54547375,0.05927245804,-6.742880215,1.696480285,11,6.770642,9,912,752.3883163,802.0177553,0.938119276447395
"text60",TRUE,"p68","d018","s2",0,35.77511914,0.1128272054,-9.375370989,2.013318439,19,22.486685,19,96,529.6845733,835.8553583,0.633703628313511
"text60",TRUE,"p68","d072","s2",1,24.09744973,0.04810675783,-6.219083057,1.604857983,9,24.443416,8,876,581.9656253,795.4790974,0.731591348160043
"text60",TRUE,"p68","d070","s2",2,30.68754124,0.08103995741,-6.01675119,1.843674061,15,17.017152,14,826,593.060482,802.7726161,0.73876521209852
"text60",TRUE,"p68","d086","s2",3,27.49820952,0.06395715108,-1.229493608,1.731157146,12,8.142302,10,878,705.9546862,768.6847866,0.91839294663621
"text60",TRUE,"p68","d133","s2",4,25.02368077,0.05218458971,1.452733518,1.639970703,10,10.94153,9,898,563.3620476,759.6070978,0.741649267406306
"text60",TRUE,"p68","d038","s2",5,30.9871603,0.08275651086,-8.541650758,1.853982156,15,14.717204,13,944,740.880259,819.148104,0.904452144102137
"text60",TRUE,"p68","d075","s2",6,25.42655444,0.05401392491,0.5400464383,1.655070109,10,6.2304,8,890,716.2609268,760.9673631,0.941250520761
"text60",TRUE,"p68","d059","s2",7,37.10946712,0.1221018169,-7.702062736,2.056073017,20,7.551154,18,830,722.9201147,823.037341,0.878356398534292
"text60",TRUE,"p68","d127","s2",8,27.17903824,0.06236645741,-6.815189141,1.719598104,12,7.10418,10,892,710.35934,802.7279434,0.884931620782045
"text60",TRUE,"p68","d058","s2",9,30.60130311,0.08054946459,-8.749926067,1.840699185,15,44.56929,14,938,578.7303165,819.3503979,0.706328230245923
"text60",TRUE,"p68","d149","s2",10,25.43371537,0.05404674665,0.5947185069,1.65533757,10,7.855489,8,890,716.4665351,760.7855891,0.941745671007742
"text60",TRUE,"p68","d023","s2",11,32.54318003,0.09198242298,-3.770348319,1.906846509,17,7.321151,15,960,651.6815844,784.5654637,0.830627416769888
"text60",TRUE,"p68","d094","s2",12,31.80026271,0.08751229207,-5.456805414,1.88174418,16,7.309561,15,106,592.4744759,799.2971538,0.741244320817698
"text60",TRUE,"p68","d089","s2",13,26.32905022,0.05823488887,-2.625763682,1.688529559,11,11.648127,9,898,716.2763652,779.9079527,0.918411413449868
"text60",TRUE,"p68","d045","s2",14,32.40922789,0.09116760228,-9.3365583,1.90233861,16,15.048509,14,-42,761.2887504,828.030666,0.919396806977678
"text60",TRUE,"p68","d053","s2",15,31.02703991,0.08298644183,-8.085630933,1.855350965,15,17.39319,12,866,797.2976369,816.2454712,0.97678659794321
"text60",TRUE,"p68","d074","s2",16,26.09859069,0.05714082808,-1.758399,1.680032512,11,6.93877,8,848,754.8737215,773.6226355,0.975764780993149
"text60",TRUE,"p68","d046","s2",17,21.58123865,0.03792142413,-5.081845585,1.506443794,6,13.951463,4,830,780.7985931,787.1431588,0.991939756283123
"text60",TRUE,"p68","d093","s2",18,23.61822761,0.04606664784,-1.401415303,1.586465365,9,34.942185,6,888,754.4036051,773.4546956,0.975368834647489
"text60",TRUE,"p68","d054","s2",19,36.65567068,0.1189035151,-7.786680042,2.041607337,20,15.670281,17,892,766.1385007,822.2629678,0.931743895447264
"text60",TRUE,"p68","d117","s2",20,26.54547375,0.05927245804,-6.742880215,1.696480285,11,8.750464,9,870,752.3883163,802.0177553,0.938119276447395
"text60",TRUE,"p68","d035","s2",21,27.83685316,0.06566841211,-8.353520347,1.743359052,12,7.171404,10,906,768.2478658,811.7500849,0.946409344564024
"text60",TRUE,"p68","d110","s2",22,32.85901261,0.09391901402,-2.175973861,1.917444046,17,9.50891,15,904,663.9331091,767.8845627,0.864626196892811
"text60",TRUE,"p68","d071","s2",23,25.72030733,0.05536910986,-0.3242686306,1.66601556,11,5.659281,8,834,733.2514069,765.5047669,0.95786654584711
"text60",TRUE,"p68","d056","s2",24,21.17009708,0.03638010201,2.380545484,1.489907787,6,6.521509,4,858,744.9591242,765.5672154,0.973081277795794
"text60",TRUE,"p68","d050","s2",25,30.16021595,0.07806567133,-8.319483041,1.825427198,14,12.918884,12,894,763.6491963,817.0753113,0.934612985778512
"text60",TRUE,"p68","d137","s2",26,25.75276185,0.05551993943,-2.238303239,1.667221563,11,16.217546,7,798,774.4621903,777.7066646,0.995828151605633
"text60",TRUE,"p68","d047","s2",27,24.65707523,0.05054928537,-1.914205833,1.626140319,10,48.655162,6,846,774.6712972,775.3336162,0.999145762564448
"text60",TRUE,"p68","d082","s2",28,29.66744687,0.07534014583,-6.451215425,1.808252786,14,17.669829,12,866,718.7246472,803.371093,0.894635932836583
"text60",TRUE,"p68","d031","s2",29,31.61030016,0.08638844829,-7.259124189,1.87528557,16,14.122024,14,910,686.976884,812.7585156,0.845241078148354
"text60",TRUE,"p68","d018","s2",30,35.77511914,0.1128272054,-9.375370989,2.013318439,19,24.10429,16,912,802.7896809,835.8553583,0.960440909935362
"text60",TRUE,"p68","d072","s2",31,24.09744973,0.04810675783,-6.219083057,1.604857983,9,11.283253,7,826,742.4663078,795.4790974,0.933357407160954
"text60",TRUE,"p68","d070","s2",32,30.68754124,0.08103995741,-6.01675119,1.843674061,15,14.153769,13,930,702.491266,802.7726161,0.875081252039733
"text60",TRUE,"p68","d086","s2",33,27.49820952,0.06395715108,-1.229493608,1.731157146,12,20.964338,10,906,705.9546862,768.6847866,0.91839294663621
"text60",TRUE,"p68","d133","s2",34,25.02368077,0.05218458971,1.452733518,1.639970703,10,19.75653,8,862,692.4704447,759.6070978,0.911616606408177
"text60",TRUE,"p68","d038","s2",35,30.9871603,0.08275651086,-8.541650758,1.853982156,15,13.36101,12,908,799.9947819,819.148104,0.976617998617744
"text60",TRUE,"p68","d075","s2",36,25.42655444,0.05401392491,0.5400464383,1.655070109,10,61.268553,8,862,716.2609268,760.9673631,0.941250520761
"text60",TRUE,"p68","d059","s2",37,37.10946712,0.1221018169,-7.702062736,2.056073017,20,13.330395,17,878,781.2652099,823.037341,0.949246371921295
"text60",TRUE,"p68","d127","s2",38,27.17903824,0.06236645741,-6.815189141,1.719598104,12,9.546575,10,10,710.35934,802.7279434,0.884931620782045
"text60",TRUE,"p68","d058","s2",39,30.60130311,0.08054946459,-8.749926067,1.840699185,15,12.898562,12,866,788.3676403,819.3503979,0.962186193258209
"text60",TRUE,"p319","d104","s1",0,27.89593825,0.06596947018,-3.800231235,1.745481492,13,14.08255,8,1058,1206.528479,1206.528479,1
"text60",TRUE,"p319","d079","s1",1,30.40495587,0.07943866535,-1.753161788,1.833912619,15,13.168645,11,1306,1174.369636,1186.486289,0.989787785065589
"text60",TRUE,"p319","d088","s1",2,36.75544378,0.1196027989,-4.65979637,2.044794322,20,14.213578,16,1234,1177.124977,1202.701793,0.978733867240522
"text60",TRUE,"p319","d052","s1",3,21.05019297,0.03593705195,-2.22680319,1.485059559,6,24.524871,2,1220,1191.855748,1195.439959,0.997001764101144
"text60",TRUE,"p319","d091","s1",4,32.06728636,0.08910522279,-6.760877552,1.890795087,16,40.48982,12,446,1223.421694,1227.983039,0.996285498369982
"text60",TRUE,"p319","d037","s1",5,35.81741481,0.113115163,-2.85970231,2.014683982,20,22.939706,15,1296,1163.430669,1182.203022,0.98412087209163
"text60",TRUE,"p319","d032","s1",6,26.62258794,0.05964453188,0.4747644408,1.699306539,12,21.020569,6,1238,1172.091178,1174.835594,0.997663999955384
"text60",TRUE,"p319","d055","s1",7,33.17488926,0.09587754153,-2.393488506,1.927999732,18,34.522135,12,1174,1184.874749,1186.174649,0.998904124277908
"text60",TRUE,"p319","d062","s1",8,28.58207676,0.06951974463,-4.745893131,1.769990035,13,21.374537,8,1254,1210.8766,1210.89023,0.99998874381867
"text60",TRUE,"p319","d026","s1",9,31.82036013,0.08763164697,-2.828698685,1.882426517,16,145.392709,11,1278,1193.699405,1193.699405,1
"text60",TRUE,"p319","d138","s1",10,35.72366012,0.1124773927,-3.814432754,2.011656125,19,24.84425,14,1274,1191.568815,1195.238543,0.996929710791631
"text60",TRUE,"p319","d073","s1",11,32.49700592,0.09170111007,-5.367497188,1.905293504,17,24.351046,11,1222,1216.402768,1216.402768,1
"text60",TRUE,"p319","d141","s1",12,25.73279689,0.05542712795,-1.436388293,1.666479746,11,11.915482,5,1286,1184.831958,1191.998515,0.993987780261622
